Date,Open,High,Low,Close,Adj Close,Volume
2023-12-14,2.480000,2.720000,2.480000,2.560000,2.560000,22809400
2023-12-15,2.600000,2.650000,2.460000,2.510000,2.510000,32310100
2023-12-18,2.480000,2.560000,2.410000,2.470000,2.470000,9860900
2023-12-19,2.480000,2.650000,2.475000,2.640000,2.640000,10969300
2023-12-20,2.580000,2.605000,2.350000,2.360000,2.360000,12370000
2023-12-21,2.480000,2.510000,2.400000,2.470000,2.470000,6550800
2023-12-22,2.470000,2.650000,2.400000,2.600000,2.600000,11560300
2023-12-26,2.610000,2.690000,2.550000,2.650000,2.650000,9948400
2023-12-27,2.660000,2.730000,2.600000,2.700000,2.700000,11590800
2023-12-28,2.670000,2.690000,2.510000,2.540000,2.540000,10509500
2023-12-29,2.550000,2.570000,2.370000,2.450000,2.450000,11304300
2024-01-02,2.390000,2.540000,2.350000,2.370000,2.370000,8767800
2024-01-03,2.290000,2.320000,2.220000,2.310000,2.310000,9035300
2024-01-04,2.320000,2.400000,2.270000,2.340000,2.340000,6714000
2024-01-05,2.330000,2.390000,2.270000,2.330000,2.330000,5737500
2024-01-08,2.280000,2.400000,2.200000,2.350000,2.350000,8942500
2024-01-09,2.270000,2.320000,2.235000,2.280000,2.280000,6622100
2024-01-10,2.400000,2.430000,2.280000,2.300000,2.300000,7730000
2024-01-11,2.270000,2.275000,2.070000,2.170000,2.170000,9862500
2024-01-12,2.170000,2.250000,2.090000,2.110000,2.110000,7738200
2024-01-16,2.080000,2.105000,1.950000,1.950000,1.950000,9741500
2024-01-17,1.900000,1.970000,1.870000,1.960000,1.960000,8085800
2024-01-18,2.000000,2.020000,1.900000,1.940000,1.940000,6972800
2024-01-19,1.960000,1.960000,1.820000,1.920000,1.920000,9581200
2024-01-22,1.940000,2.075000,1.935000,2.050000,2.050000,8390300
2024-01-23,2.100000,2.160000,2.060000,2.090000,2.090000,6841600
2024-01-24,2.120000,2.160000,2.000000,2.010000,2.010000,6048100
2024-01-25,2.010000,2.060000,1.950000,1.950000,1.950000,7374300
2024-01-26,1.960000,2.050000,1.881000,1.890000,1.890000,8905400
2024-01-29,1.900000,1.930000,1.840000,1.920000,1.920000,6305700
2024-01-30,1.920000,1.920000,1.790000,1.790000,1.790000,9885600
2024-01-31,1.810000,1.920000,1.750000,1.780000,1.780000,10926400
2024-02-01,1.830000,1.870000,1.720000,1.790000,1.790000,8800600
2024-02-02,1.760000,1.760000,1.700000,1.730000,1.730000,3601690
